"","lon","lat","MunicipalityID","COD_DANE","Department Name","Municipality Name","Rural Population","Urban Population","Total Population"
"795","-73.77874177","5.524104802","11902",15676,"BOYACA","SAN MIGUEL DE SEMA","4133","479","4612"
"796","-75.50447484","9.805267332","11793",70713,"SUCRE","SAN ONOFRE","28251","18132","46383"
"797","-74.24468615","7.312723273","12665",13670,"BOLIVAR","SAN PABLO","6058","20952","27010"
"798","-74.13723602","5.666388051","11626",15681,"BOYACA","SAN PABLO DE BORBUR","9661","1263","10924"
"799","-75.0273093","9.409179971","12343",70717,"SUCRE","SAN PEDRO","5408","11007","16415"
"800","-77.12982492","1.555318001","11652",52694,"NARINO","SAN PEDRO DE CARTAGO","6439","612","7051"
"801","-76.31746466","8.422905048","11938",5665,"ANTIOQUIA","SAN PEDRO DE URABA","17093","11679","28772"
"802","-75.91078608","8.975106023","12432",23686,"CORDOBA","SAN PELAYO","32358","6902","39260"
"803","-75.01462847","6.303195011","12527",5667,"ANTIOQUIA","SAN RAFAEL","7128","6402","13530"
"804","-74.9524644","6.444204188","11974",5670,"ANTIOQUIA","SAN ROQUE","12256","5901","18157"
"805","-76.75025842","1.867203931","12284",19693,"CAUCA","SAN SEBASTIAN","11805","1015","12820"
"806","-74.21522909","9.332417299","12553",47692,"MAGDALENA","SAN SEBASTIAN DE BUENAVISTA","12099","5168","17267"
"807","-75.33638047","6.304428956","12495",5674,"ANTIOQUIA","SAN VICENTE","12615","6823","19438"
"808","-73.52244869","6.868160552","11633",68689,"SANTANDER","SAN VICENTE DE CHUCURI","20562","12705","33267"
"809","-74.46443132","1.686797975","11788",18753,"CAQUETA","SAN VICENTE DEL CAGUAN","25663","31011","56674"
"810","-74.36292019","9.308403343","11725",47703,"MAGDALENA","SAN ZENON","7277","1627","8904"
"811","-77.48283195","1.307223225","11857",52683,"NARINO","SANDONA","14550","10670","25220"
"812","-74.32030881","9.530134468","12455",47707,"MAGDALENA","SANTA ANA","11779","11456","23235"
"813","-72.93157442","6.938192816","11899",68705,"SANTANDER","SANTA BARBARA","1951","360","2311"
"814","-74.66383483","9.514657261","11590",47720,"MAGDALENA","SANTA BARBARA DE PINTO","4958","6150","11108"
"815","-75.28195237","10.68925595","12163",13673,"BOLIVAR","SANTA CATALINA","7744","4314","12058"
"816","-77.77375958","1.322877899","11915",52699,"NARINO","SANTACRUZ","16186","4484","20670"
"817","-75.91571317","6.535384257","11833",5042,"ANTIOQUIA","SANTAFE DE ANTIOQUIA","9267","13636","22903"
"818","-73.60036657","6.3969417","12582",68720,"SANTANDER","SANTA HELENA DEL OPON","3898","575","4473"
"819","-75.22390395","4.726264428","12390",73686,"TOLIMA","SANTA ISABEL","4298","2267","6565"
"820","-74.97750287","10.33867519","12167",8675,"ATLANTICO","SANTA LUCIA","1358","11060","12418"
"821","-73.28242697","4.793686428","12081",15690,"BOYACA","SANTA MARIA","2117","2518","4635"
"822","-73.91668304","11.10873821","11670",47001,"MAGDALENA","SANTA MARTA","30148","385122","415270"
"823","-75.35306388","10.43834545","12597",13683,"BOLIVAR","SANTA ROSA","5706","12489","18195"
"824","-75.57196825","4.832213408","12355",66682,"RISARALDA","SANTA ROSA DE CABAL","13631","56329","69960"
"825","-75.46002424","6.669882622","12002",5686,"ANTIOQUIA","SANTA ROSA DE OSOS","16322","14703","31025"
"826","-73.01343924","5.885155155","11903",15693,"BOYACA","SANTA ROSA DE VITERBO","6263","6986","13249"
"827","-74.27587905","7.697617558","12318",13688,"BOLIVAR","SANTA ROSA DEL SUR","20023","13992","34015"
"828","-70.65984765","5.021691762","12049",99624,"VICHADA","SANTA ROSALIA","1388","1862","3250"
"829","-73.62975398","5.702126994","12307",15696,"BOYACA","SANTA SOFIA","2343","778","3121"
"830","-73.51107469","6.044635922","12402",15686,"BOYACA","SANTANA","5642","2211","7853"
"831","-72.0025323","-1.181530186","12079",91669,"AMAZONAS","PUERTO SANTANDER","2373","0","2373"
"832","-76.53440547","2.988039092","11931",19698,"CAUCA","SANTANDER DE QUILICHAO","40031","40251","80282"
"833","-72.73753697","7.869308857","12173",54680,"NORTE DE SANTANDER","SANTIAGO","1503","1176","2679"
"834","-75.15464067","6.473477724","11795",5690,"ANTIOQUIA","SANTO DOMINGO","9368","2199","11567"
"835","-74.80094032","10.73184738","12217",8685,"ATLANTICO","SANTO TOMAS","1257","22617","23874"
"836","-75.26668426","6.123370075","11746",5697,"ANTIOQUIA","EL SANTUARIO","6457","19830","26287"
"837","-77.70660816","1.059541801","11865",52720,"NARINO","SAPUYES","5814","1659","7473"
"838","-71.88171021","6.88256716","11600",81736,"ARAUCA","SARAVENA","14222","28544","42766"
"839","-72.82039209","8.234241538","12276",54720,"NORTE DE SANTANDER","SARDINATA","14308","8425","22733"
"840","-74.42797316","4.928911161","12459",25718,"CUNDINAMARCA","SASAIMA","7973","2232","10205"
"841","-72.75320885","6.105846748","12625",15720,"BOYACA","SATIVANORTE","2185","590","2775"
"842","-72.74009314","6.046239449","12387",15723,"BOYACA","SATIVASUR","1041","310","1351"
"843","-74.65884695","7.247706925","12428",5736,"ANTIOQUIA","SEGOVIA","7023","28048","35071"
"844","-73.80044849","4.988264305","12421",25736,"CUNDINAMARCA","SESQUILE","7452","2365","9817"
"845","-75.89821139","4.192998304","12279",76736,"VALLE DEL CAUCA","SEVILLA","12811","35061","47872"
"846","-73.2344676","5.469038608","11872",15740,"BOYACA","SIACHOQUE","7489","1405","8894"
"847","-74.28288329","4.449078507","12356",25740,"CUNDINAMARCA","SIBATE","10487","21188","31675"
"848","-76.9601182","1.207359609","12113",86749,"PUTUMAYO","SIBUNDOY","4122","9148","13270"
"849","-72.81900911","7.147377322","12241",54743,"NORTE DE SANTANDER","SILOS","4344","940","5284"
"850","-74.38426609","4.425134016","12676",25743,"CUNDINAMARCA","SILVANIA","15702","5690","21392"
"851","-76.37642646","2.667773866","12606",19743,"CAUCA","SILVIA","26850","4110","30960"
"852","-73.71890566","6.648616709","12389",68745,"SANTANDER","SIMACOTA","6686","2224","8910"
"853","-73.86944012","5.504150101","11677",25745,"CUNDINAMARCA","SIMIJACA","5259","5758","11017"
"854","-73.97922228","7.816325509","12575",13744,"BOLIVAR","SIMITI","11734","6684","18418"
"855","-75.06732492","9.24582924","11591",70742,"SUCRE","SAN LUIS DE SINCE","8504","22144","30648"
"856","-75.42897861","9.310248032","12288",70001,"SUCRE","SINCELEJO","17979","219639","237618"
"857","-76.58814696","4.554898455","11826",27745,"CHOCO","SIPI","3188","293","3481"
"858","-74.64154619","10.86688752","12267",47745,"MAGDALENA","SITIONUEVO","13832","13035","26867"
"859","-74.25226583","4.528749252","12535",25754,"CUNDINAMARCA","SOACHA","5452","396555","402007"
"860","-72.7242319","6.299658854","11955",15753,"BOYACA","SOATA","3561","5752","9313"
"861","-72.70072815","5.929258578","12542",15757,"BOYACA","SOCHA","3988","3605","7593"
